SiO2 (%),Density(g/cm3),Vp (km/s)
48.93 ,3.04 ,7.02 
49.22 ,3.21 ,7.59 
47.00 ,2.94 ,7.19 
50.13 ,3.00 ,7.06 
49.71 ,3.08 ,7.24 
48.15 ,2.99 ,7.17 
45.62 ,3.00 ,6.69 
45.95 ,2.85 ,6.32 
48.15 ,3.01 ,7.08 
45.62 ,3.00 ,6.69 
45.95 ,2.85 ,6.32 
51.25 ,3.07 ,7.25 
51.89 ,3.06 ,7.13 
48.03 ,3.06 ,6.99 
50.50 ,3.00 ,7.04 
50.00 ,3.02 ,7.04 
48.00 ,3.20 ,7.17 
43.20 ,3.08 ,7.06 
52.50 ,2.97 ,7.12 
48.70 ,3.01 ,7.04 
48.93 ,3.04 ,7.02 
48.70 ,3.09 ,7.18 
45.60 ,3.08 ,6.86 
50.50 ,2.91 ,6.88 
50.20 ,2.93 ,6.84 
46.50 ,3.12 ,7.20 
48.61 ,2.96 ,6.53 
51.73 ,2.96 ,6.24 
48.40 ,3.03 ,6.88 
49.10 ,3.02 ,7.03 
52.00 ,2.89 ,6.94 
47.80 ,3.03 ,7.09 
47.50 ,3.03 ,7.16 
48.50 ,3.03 ,7.13 
49.80 ,3.02 ,7.23 
49.60 ,2.97 ,7.29 
50.50 ,3.02 ,7.22 
49.40 ,3.02 ,7.15 
46.50 ,2.86 ,6.91 
52.40 ,2.82 ,6.70 
49.70 ,3.10 ,7.10 
43.10 ,3.29 ,7.42 
42.30 ,3.73 ,7.77 
50.90 ,2.96 ,7.20 
47.10 ,3.02 ,7.20 
48.90 ,3.07 ,7.29 
46.90 ,3.02 ,7.20 
47.30 ,3.07 ,7.24 
46.51 ,2.86 ,6.63 
52.39 ,3.08 ,7.13 
50.04 ,3.06 ,7.27 
48.32 ,3.13 ,7.28 
48.62 ,3.00 ,7.39 
48.33 ,2.82 ,7.12 
48.34 ,3.08 ,7.18 
48.57 ,3.13 ,7.38 
46.52 ,3.23 ,7.40 
47.59 ,3.16 ,7.44 
45.17 ,3.20 ,7.28 
47.25 ,3.20 ,7.75 
42.92 ,3.29 ,7.36 
47.36 ,3.06 ,7.12 
46.75 ,3.07 ,7.38 
52.47 ,3.11 ,7.35 
48.68 ,2.79 ,6.78 
47.30 ,2.94 ,7.03 
46.27 ,2.92 ,6.98 
43.09 ,3.08 ,7.51 
45.20 ,3.08 ,7.45 
47.86 ,3.06 ,7.23 
46.12 ,2.91 ,7.29 
43.88 ,3.05 ,7.50 
50.71 ,3.04 ,7.60 
46.83 ,3.09 ,7.40 
44.25 ,2.89 ,6.85 
47.27 ,2.95 ,6.83 
48.04 ,3.00 ,7.24 
45.91 ,3.04 ,6.95 
47.33 ,2.91 ,6.53 
50.13 ,2.85 ,6.28 
43.46 ,3.11 ,6.81 
52.05 ,3.29 ,7.24 
47.78 ,3.07 ,6.69 
48.61 ,2.96 ,6.55 
51.73 ,2.96 ,6.24 
48.70 ,3.07 ,7.17 
45.80 ,3.32 ,7.45 
45.55 ,3.21 ,7.24 
